,theta, ,tau,  
El,0.002474,"(0.001733, 0.003407)",,
Mi,0.001191,"(0.000894, 0.00153)",,
An,0.002459,"(0.001351, 0.003566)",,
Po,0.004977,"(0.003701, 0.006034)",,
Ab,0.002974,"(0.002102, 0.004037)",,
Ge,0.002535,"(0.001533, 0.003632)",,
Tr,0.002024,"(0.001158, 0.002999)",,
MiPoAbAnGeTrEl,0.006291,"(0.004003, 0.008964)",0.002077,"(0.001722, 0.002417)"
MiPoAbAnGeTr,0.004838,"(0.000744, 0.01214)",0.002021,"(0.00172, 0.002406)"
MiPoAb,0.004013,"(0.00226, 0.005876)",0.000912,"(0.000669, 0.001205)"
PoAb,0.004306,"(0.000582, 0.009826)",0.000857,"(0.000622, 0.001155)"
AnGeTr,0.003875,"(0.000691, 0.009556)",0.001898,"(0.001497, 0.002302)"
GeTr,0.013803,"(0.005124, 0.025731)",0.000408,"(0.000207, 0.000694)"
